Job Name,Company,Location,Department,Full-Time Or Part-Time,Link
Web3 Senior Product Lead - Socialfi,Popoo,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/popoo-web3-senior-product-lead-socialfi/
Blockchain Developer,Lemon.io,Remote - Canada & Europe & South America & UK,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/lemon-io-blockchain-developer/
Product Engineer,Outlier Ventures,London &  Remote - GMT +/- 2,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/outlier-ventures-product-engineer/
Senior Rust Engineer,Chainflip,Berlin &  Remote - Europe,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/chainflip-senior-rust-engineer/
Distributed Protocol Engineer,Status,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/status-distributed-protocol-engineer/
Research Director (Cryptoeconomics),Smith + Crown,Remote - US,Other,Full-Time,https://cryptocurrencyjobs.co/other/smith-crown-research-director-cryptoeconomics/
Sales Representative / Project Manager,Airdrops.io,Remote,Sales,Contract,https://cryptocurrencyjobs.co/sales/airdrops-io-sales-representative-project-manager/
Partnership Director,Neon Labs,Lisbon &  Remote - EU,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/neon-labs-partnership-director/
DeFi Analyst,Notional Finance,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/notional-finance-defi-analyst/
Co-Founder Innovative Fintech Company,TEQTON,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/teqton-co-founder-innovative-fintech-company/
Head of Copy,Status,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/status-head-of-copy/
Head of Investor Relations,Status,Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/status-head-of-investor-relations/
Head of Sales,Zonda,Remote - Europe,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/zonda-head-of-sales/
Web3 Frontend Engineer,GFX Labs,Chicago (IL),Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/gfx-labs-web3-frontend-engineer/
Sr Backend Developer - TypeScript,ClubRare,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/clubrare-senior-backend-developer-typescript/
Web3 Marketing Lead,prePO,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/prepo-web3-marketing-lead/
Senior Full Stack Engineer,Co:Create,Remote - Canada & North America & South America & US,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/co-create-senior-full-stack-engineer/
Blockchain Developer,Offchain Labs,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/offchain-labs-blockchain-developer/
Golang Engineer,Offchain Labs,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/offchain-labs-golang-engineer/
产品UI/UX设计师 Product UI/UX Designer,BC.Game,Remote - Africa & Asia,Design,Full-Time,https://cryptocurrencyjobs.co/design/bc-game-ui-ux-product-ui-ux-designer/
Test Automation Engineer,Coinshift,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/coinshift-test-automation-engineer/
Senior Backend Engineer,Coinshift,Remote,Engineering,Contract &   Full-Time,https://cryptocurrencyjobs.co/engineering/coinshift-senior-backend-engineer/
Data Engineer,Coinshift,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/coinshift-data-engineer/
Platforms Engineer,Coinshift,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/coinshift-platforms-engineer/
DeFi and Tokenomics Expert with Strong Math Background,Usual Company,Remote,Other,Freelance &   Full-Time,https://cryptocurrencyjobs.co/other/usual-company-mathematical-finance-tokenomics-specialist/
Senior Digital Designer,Freeway,Remote - Europe & UK,Design,Contract &   Full-Time,https://cryptocurrencyjobs.co/design/freeway-senior-digital-designer/
Senior Copywriter,Freeway,Remote - Europe & UK,Marketing,Contract &   Full-Time,https://cryptocurrencyjobs.co/marketing/freeway-copywriter/
Marketing Strategist,Chronicle Labs,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/chronicle-labs-marketing-strategist/
Community & Content Marketing Lead,Swell Network DAO,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/swell-network-dao-community-content-marketing-lead/
Senior Backend Engineer,Co:Create,Remote - Canada & North America & South America & US,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/co-create-senior-backend-engineer/
Senior Frontend Engineer,Co:Create,Remote - Canada & North America & South America & US,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/co-create-senior-frontend-engineer/
Marketing Manager,dForce,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/dforce-marketing-manager/
Business Development Manager,Double Protocol,Remote,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/double-protocol-business-development-manager/
Community Lead,Interlay,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/interlay-community-lead/
NFT Community Manager,ClubRare,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/clubrare-nft-community-manager/
Founding Engineer - Backend,Sort,San Francisco (CA) &  Remote - North America,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/sort-founding-engineer-backend/
Developer Relations Manager,Oasis Foundation,Remote - EU,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/oasis-foundation-developer-relations-manager/
Infrastructure and Community Support Engineer,Clearmatics,Remote - Asia/US time zones,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/clearmatics-infrastructure-and-community-support-engineer/
Software Engineer,Stackup,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/stackup-software-engineer/
Senior DevOps Engineer,Cere Network,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/cere-network-senior-devops-engineer/
Digital Brand & Communication Designer,Gelato Network,Remote,Design,Full-Time,https://cryptocurrencyjobs.co/design/gelato-network-brand-communication-designer/
Customer Service Agent,BC.Game,Remote,Customer Support,Full-Time,https://cryptocurrencyjobs.co/customer-support/bc-game-customer-service-agent/
Lead Full-Stack Engineer,Subspace Labs,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/subspace-labs-lead-full-stack-engineer/
Senior Frontend Engineer,Incept,Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/incept-senior-frontend-engineer/
Business Partnerships Manager,Bebop,London & New York (NY) & Singapore &  Remote,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/bebop-business-partnerships-manager/
Graduate Software Engineer - DeFi,Wintermute,Singapore,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/wintermute-graduate-software-engineer-defi/
Product Director - Institutional Trading,Wintermute,London,Other,Full-Time,https://cryptocurrencyjobs.co/other/wintermute-product-director-institutional-trading/
Legal Counsel,Wintermute,London & Singapore,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/wintermute-legal-counsel/
Lead Software Engineer,Bebop,London & New York (NY) & Singapore &  Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/bebop-lead-software-engineer/
Graduate Algorithmic Trader 2023,Wintermute,Singapore,Other,Full-Time,https://cryptocurrencyjobs.co/other/wintermute-graduate-algorithmic-trader-2023/
Marketing Manager,Nervape,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/nervape-marketing-manager/
Digital Marketing and Social Media Intern | Native,Altonomy,Singapore,Marketing,Internship,https://cryptocurrencyjobs.co/marketing/altonomy-digital-marketing-and-social-media-intern-native/
Head of Business Development,Eclipse,Remote - US,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/eclipse-head-of-business-development/
Project Manager - Central Operations,Worldcoin,Berlin & Warsaw,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/worldcoin-project-manager-central-operations/
Growth Marketing Manager,IOV Labs,Remote - Europe,Marketing,Contract &   Full-Time,https://cryptocurrencyjobs.co/marketing/iov-labs-growth-marketing-manager/
Compliance Manager,Copper,Zug,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/copper-compliance-manager/
Internship Spring/Summer 2023 - Software Engineer - Tools,CertiK,New York (NY) & San Francisco (CA) & Seattle (WA) &  Remote,Engineering,Internship,https://cryptocurrencyjobs.co/engineering/certik-internship-spring-summer-2023-software-engineer-tools/
Enterprise Customer Success Manager - Americas,Fireblocks,New York (NY),Customer Support,Full-Time,https://cryptocurrencyjobs.co/customers-support/fireblocks-enterprise-customer-success-manager-americas/
Junior Quant Researcher - Quant Trading,Amber Group,Hong Kong,Operations,Full-Time,https://cryptocurrencyjobs.co/other/amber-group-junior-quant-researcher-quant-trading/
Head of Client Services,Xapo,Remote,Customer Support,Full-Time,https://cryptocurrencyjobs.co/customer-support/xapo-head-of-client-services/
Compliance Officer,Hex Trust,Dubai,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/hex-trust-compliance-officer/
Business Development Associate - Gaming,Immutable,Remote,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/immutable-business-development-associate-gaming/
Senior Visual / Graphic Designer,Coins.ph,Manila,Design,Full-Time,https://cryptocurrencyjobs.co/design/coins-ph-senior-visual-graphic-designer/
Customer Support Specialist,Qredo,Remote,Customer Support,Full-Time,https://cryptocurrencyjobs.co/customer-support/qredo-customer-support-specialist/
Sales Director - Australia,Chainalysis,Canberra & Melbourne & Sydney,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/chainalysis-sales-director-australia/
Director of Design,BitGo,Palo Alto (CA),Design,Full-Time,https://cryptocurrencyjobs.co/design/bitgo-director-of-design/
Senior Manager - Finance & Strategy,Magic,Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/magic-senior-manager-finance-strategy/
Senior Product Designer - River Lightning Services,River Financial,Remote,Product,Full-Time,https://cryptocurrencyjobs.co/design/river-financial-senior-product-designer-river-lightning-services/
Compliance Manager/Specialist,AZA,Madrid,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/aza-compliance-manager-specialist/
Executive Assistant,Aztec,London,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/aztec-executive-assistant/
Senior Marketing Manager,Livepeer,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/livepeer-senior-marketing-manager/
Product Manager,Reserve,Buenos Aires,Other,Full-Time,https://cryptocurrencyjobs.co/other/reserve-product-manager/
Recruiting,Alchemy,New York (NY) & San Francisco (CA),Operations,Full-Time,https://cryptocurrencyjobs.co/operations/alchemy-recruiting/
Talent Acquisition Manager,Qredo,Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/qredo-talent-acquisition-manager/
Tiktok Influencer Marketing Specialist,Manta Network,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/manta-network-tiktok-influencer-marketing-specialist/
Marketing Research Lead,Lido,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/lido-marketing-research-lead/
Internship,DeFiance Capital,Singapore,Other,Internship,https://cryptocurrencyjobs.co/other/defiance-capital-internship/
Blockchain Security Researcher - Europe,OpenZeppelin,Remote - Europe,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/openzeppelin-blockchain-security-researcher-europe/
Operations Coordinator,Molecule,Berlin,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/molecule-operations-coordinator/
Business Development & Partnerships Coordinator,ETHGlobal,Remote - Canada & US,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/ethglobal-business-development-partnerships-coordinator/
Social Media & Content Marketing Intern,3mint,Remote - US,Marketing,Internship &   Part-Time,https://cryptocurrencyjobs.co/marketing/3mint-social-media-content-marketing-intern/
Product Support Specialist (Europe/Asia),Ava Labs,New York (NY) &  Remote - Asia & Europe,Other,Full-Time,https://cryptocurrencyjobs.co/other/ava-labs-product-support-specialist-europe-asia/
Head of Communications,SatoshiPay,Berlin &  Remote - GMT-3 to GMT+2,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/satoshipay-head-of-communications/
Vice President of Operations,MoonPay,Barcelona & Lisbon & London & Miami (FL) & New York (NY),Operations,Full-Time,https://cryptocurrencyjobs.co/operations/moonpay-vice-president-of-operations/
Communications Lead,OpenSea,New York (NY) & San Francisco (CA) &  Remote - US,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/opensea-communications-lead/
Product Manager - Web,Glassnode,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/glassnode-product-manager-web/
Research Analyst/Associate,Lemniscap,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/lemniscap-research-analyst-associate/
Senior Financial Analyst,The Block,Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/the-block-senior-financial-analyst/
Performance Marketing Manager,Amun 21Shares,New York (NY),Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/amun-21shares-performance-marketing-manager/
DeFi Business Development Manager,Ondo Finance,New York (NY) &  Remote,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/ondo-finance-defi-business-development-manager/
Chief Legal Officer - Nexus One,Nexus Mutual,Bucharest &  Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/nexus-mutual-chief-legal-officer-nexus-one/
Associate - Operations,Grayscale Investments,Stamford (CT),Operations,Full-Time,https://cryptocurrencyjobs.co/operations/grayscale-investments-associate-operations/
Sales Development Representative,Brave,Remote - US,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/brave-sales-development-representative/
Ops Product Manager,Copper,London,Other,Full-Time,https://cryptocurrencyjobs.co/other/copper-ops-product-manager/
Global Head of HR,The Sandbox,London & Los Angeles (CA) & Paris,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/the-sandbox-global-head-of-hr/
Global Partnerships Lead,Talos,London & New York (NY),Sales,Full-Time,https://cryptocurrencyjobs.co/sales/talos-global-partnerships-lead/
Regional Marketing Lead - Asia,Xapo,Singapore,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/xapo-regional-marketing-lead-asia/
Senior Associate - Middle Office Operations,Blockchain,Singapore &  Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/blockchain-senior-associate-middle-office-operations/
Digital Custody Product Specialist,Hex Trust,Hong Kong,Other,Full-Time,https://cryptocurrencyjobs.co/other/hex-trust-digital-custody-product-specialist/
Marketing & Project Manager Associate,NEAR,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/near-marketing-project-manager-associate/
Associate General Counsel,Solana,Chicago (IL) & New York (NY) & San Francisco (CA) &  Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/solana-associate-general-counsel/
Product Marketing Manager,Stellar,New York (NY),Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/stellar-product-marketing-manager/
Communications Lead,Enjin,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/enjin-communications-lead/
Operations Project Manager,Coins.ph,Shanghai,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/coins-ph-operations-project-manager/
Graphic Designer - Otherlife,MoonPay,Toronto,Design,Full-Time,https://cryptocurrencyjobs.co/design/moonpay-graphic-designer-otherlife/
Security Intern,Binance,Remote - Asia,Engineering,Internship,https://cryptocurrencyjobs.co/engineering/binance-security-intern/
Associate - Payment Operations,Gemini,New York (NY) & San Francisco (CA) & Seattle (WA),Operations,Full-Time,https://cryptocurrencyjobs.co/operations/gemini-associate-payment-operations/
Treasury Analyst,Paxos,Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/paxos-treasury-analyst/
Senior UI/UX Designer,Metatheory,Remote,Design,Full-Time,https://cryptocurrencyjobs.co/design/metatheory-senior-ui-ux-designer/
APAC Marketing Intern,Blockdaemon,Singapore,Marketing,Internship,https://cryptocurrencyjobs.co/marketing/blockdaemon-apac-marketing-intern/
Member of Bank Operations - Associate,Anchorage Digital,Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/anchorage-digital-member-of-bank-operations-associate/
Junior CRM Manager - Marcomms,Parity Technologies,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/parity-technologies-junior-crm-manager-marcomms/
VP - Regulatory Compliance Officer & Attorney,Galaxy Digital,New York (NY),Operations,Full-Time,https://cryptocurrencyjobs.co/operations/galaxy-digital-vp-regulatory-compliance-officer-attorney/
Digital Asset Trader,Animoca Brands,Hong Kong,Other,Full-Time,https://cryptocurrencyjobs.co/other/animoca-brands-digital-asset-trader/
Art Director,Lido,Remote,Design,Full-Time,https://cryptocurrencyjobs.co/design/lido-art-director/
Enterprise Marketing Manager,Alchemy,New York (NY) & San Francisco (CA),Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/alchemy-enterprise-marketing-manager/
Business Operations Senior Manager - Platform,Coinbase,Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/coinbase-business-operations-senior-manager-platform/
Sales Development Representative,Pocket Network,Remote - Africa & Asia & India & Japan & Malaysia & South Korea,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/pocket-network-sales-development-representative/
Head of Demand Generation,Nansen,Singapore &  Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/nansen-head-of-demand-generation/
Brand Experience Intern,Ledger,Paris,Marketing,Internship,https://cryptocurrencyjobs.co/marketing/ledger-brand-experience-intern/
HR Business Partner,Pyth,Porto &  Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/pyth-hr-business-partner/
Head of Business Development & Partnerships,Pinata,Remote - North America & South America,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/pinata-head-of-business-development-partnerships/
Director of Platform Business Development,Polygon,Remote,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/polygon-director-of-platform-business-development/
Venture Capital Analyst - LayerZero Ecosystem Fund,LayerZero,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/layerzero-venture-capital-analyst-layerzero-ecosystem-fund/
Associate - Corporate Strategy,Axoni,Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/axoni-associate-corporate-strategy/
Chief Revenue Office,SettleMint,Remote - APAC & EMEA,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/settlemint-chief-revenue-officer/
Communications Lead,Immutable,Sydney,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/immutable-communications-lead/
Event Manager,Securitize,New York (NY) &  Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/securitize-event-manager/
Junior Treasury Analyst,Binance,Dubai,Operations,Internship,https://cryptocurrencyjobs.co/operations/binance-junior-treasury-analyst/
Senior Designer,TRM,Remote,Design,Full-Time,https://cryptocurrencyjobs.co/design/trm-senior-designer/
Accountant,SuperRare Labs,Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/superrare-labs-accountant/
People Operations Manager,WOO Network,Taipei,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/woo-network-people-operations-manager/
Customer Support Representative - APAC,Circle,Remote - Singapore,Customer Support,Full-Time,https://cryptocurrencyjobs.co/customer-support/circle-customer-support-representative-apac/
Business Development Associate,CertiK,Remote - India,Sales,Full-Time,https://cryptocurrencyjobs.co/sales/certik-business-development-associate/
Intern Client Services,SEBA Bank,Zug,Customer Support,Internship,https://cryptocurrencyjobs.co/customer-support/seba-bank-intern-client-services/
Senior Web 3 Developer Advocate,3Box Labs,New York (NY) &  Remote,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/3box-labs-senior-web-3-developer-advocate/
Crypto Regulatory Counsel,Cash App,Remote - US,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/cash-app-crypto-regulatory-counsel/
International Community Expansion Lead,NEAR,Remote,Marketing,Full-Time,https://cryptocurrencyjobs.co/marketing/near-international-community-expansion-lead/
Product Manager (Intern),CoinGecko,Selangor &  Remote - Malaysia & Singapore,Other,Internship,https://cryptocurrencyjobs.co/other/coingecko-product-manager-intern/
Client Success Specialist,WOO Network,Remote,Customer Support,Full-Time,https://cryptocurrencyjobs.co/customer-support/woo-network-client-success-specialist/
Strategy Associate (DAO & Tokenomics),Kyber Network,Remote,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/kyber-network-strategy-associate-dao-tokenomics/
Junior Legal Counsel,Nansen,Remote - UK,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/nansen-junior-legal-counsel/
Researcher and Writer,Jito Labs,Remote,Other,Full-Time,https://cryptocurrencyjobs.co/other/jito-labs-researcher-and-writer/
Senior UX Product Manager,Casa,Remote - US,Other,Full-Time,https://cryptocurrencyjobs.co/other/casa-senior-ux-product-manager/
Zero-Knowledge Proof Engineer,Axiom,New York (NY),Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/axiom-zero-knowledge-proof-engineer/
Product Designer (Contract),Magic Eden,Remote - US,Design,Contract,https://cryptocurrencyjobs.co/design/magic-eden-product-designer-contract/
Senior FinOps Associate,Blockchain,Singapore,Operations,Full-Time,https://cryptocurrencyjobs.co/operations/blockchain-senior-finops-analyst/
Customer Success Engineer,SettleMint,Remote - Singapore,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/settlemint-customer-success-engineer/
Quality Assurance Engineer,Brave,Remote - North America,Engineering,Full-Time,https://cryptocurrencyjobs.co/engineering/brave-quality-assurance-engineer/
